unit,blueMCD
1400_,1852.382336
1400_P02,1822.73592
1400_P03,1851.309022
1401_,1854.285611
1401_P03,1860.178851
1402_,1856.908458
1402_P03,1862.296847
1403_,1808.512711
1403_P02,1824.389548
1404_,1848.347086
1404_P03,1859.306155
1405_,1836.470665
1405_P01,1805.210211
1405_P02,1830.147392
1405_P03,1848.975134
1406_,1854.5554
1406_P02,1821.031835
1406_P03,1861.747426
1407_,1858.131056
1410_,1834.887852
1410_P02,1816.036068
1410_P03,1851.973954
1412_,1848.788838
1412_P02,1826.964365
1412_P03,1862.190317
